Gemeinde;Straﬂenschl¸ssel;Straﬂenname;Hausnummer;BP Position (ETRS89_UTM32 (mm));BP Kennzeichen (ETRS89_UTM32 (mm))
Stadt Flensburg;00025;Ahornweg;9;525495058.000,6067469524.000 ;525495484.000,6067468482.000 
Stadt Flensburg;00267;Husumer Straﬂe;;525697058.000,6067405307.000 ;525692193.000,6067406548.000 
Stadt Flensburg;00037;Am Sophienhof;;526841044.000,6067883500.000 ;526840868.000,6067880024.000 
Stadt Flensburg;00468;Otto-Hahn-Straﬂe;;526670813.000,6067963077.000 ;526666086.000,6067965314.000 
Stadt Flensburg;00377;Lilienthalstraﬂe;;525588398.000,6068839453.000 ;525585136.000,6068841425.000 
Stadt Flensburg;00072;Bergstraﬂe;26;527423718.000,6071834649.000 ;527423609.000,6071835603.000 
Stadt Flensburg;00102;Burgstraﬂe;19;527465853.000,6071788744.000 ;527465692.000,6071791243.000 
Stadt Flensburg;00102;Burgstraﬂe;12;527452663.000,6071761302.000 ;527453018.000,6071762481.000 
Stadt Flensburg;00504;Ritterstraﬂe;;527479920.000,6071819441.000 ;527479776.000,6071822379.000 
Stadt Flensburg;00274;Haselnuﬂweg;;530710411.000,6070344805.000 ;530708170.000,6070340662.000 
Stadt Flensburg;00174;Fˆrsterstieg;17;525157528.000,6067926953.000 ;525151429.000,6067926502.000 
Stadt Flensburg;00264;Holzkrugweg;23;525082855.000,6067784337.000 ;525083610.000,6067782283.000 
Stadt Flensburg;00273;Hirschbogen;61;525354673.000,6068005055.000 ;525351000.000,6068001989.000 
Stadt Flensburg;00273;Hirschbogen;39;525377214.000,6068021335.000 ;525378466.000,6068023005.000 
Stadt Flensburg;00264;Holzkrugweg;43;524880105.000,6067773404.000 ;524877623.000,6067775573.000 
Stadt Flensburg;00009;Alter Husumer Weg;247;525211101.000,6068142355.000 ;525212538.000,6068141314.000 
Stadt Flensburg;00009;Alter Husumer Weg;235;525289880.000,6068217371.000 ;525281484.000,6068220959.000 
