"municipality_name","street_key","street_name","housenumber","easting","northing"
"Stadt Flensburg","00025","Ahornweg","9","525495058.00","6067469524.00"
"Stadt Flensburg","00267","Husumer Straße",,"525697058.00","6067405307.00"
"Stadt Flensburg","00037","Am Sophienhof",,"526841044.00","6067883500.00"
"Stadt Flensburg","00468","Otto-Hahn-Straße",,"526670813.00","6067963077.00"
"Stadt Flensburg","00377","Lilienthalstraße",,"525588398.00","6068839453.00"
"Stadt Flensburg","00072","Bergstraße","26","527423718.00","6071834649.00"
"Stadt Flensburg","00102","Burgstraße","19","527465853.00","6071788744.00"
"Stadt Flensburg","00102","Burgstraße","12","527452663.00","6071761302.00"
"Stadt Flensburg","00504","Ritterstraße",,"527479920.00","6071819441.00"
"Stadt Flensburg","00274","Haselnußweg",,"530710411.00","6070344805.00"
"Stadt Flensburg","00174","Försterstieg","17","525157528.00","6067926953.00"
"Stadt Flensburg","00264","Holzkrugweg","23","525082855.00","6067784337.00"
"Stadt Flensburg","00273","Hirschbogen","61","525354673.00","6068005055.00"
"Stadt Flensburg","00273","Hirschbogen","39","525377214.00","6068021335.00"
"Stadt Flensburg","00264","Holzkrugweg","43","524880105.00","6067773404.00"
"Stadt Flensburg","00009","Alter Husumer Weg","247","525211101.00","6068142355.00"
"Stadt Flensburg","00009","Alter Husumer Weg","235","525289880.00","6068217371.00"
"Stadt Flensburg","00273","Hirschbogen","1","525308202.00","6068203456.00"
"Stadt Flensburg","00658","Wedinger Weg",,"525271766.00","6067425416.00"
"Stadt Flensburg","00152","Eschenweg","1","525290511.00","6067434466.00"
"Stadt Flensburg","00266","Hubertusweg","10","525172449.00","6067911065.00"
"Stadt Flensburg","00273","Hirschbogen","53A","525387757.00","6067961088.00"
"Stadt Flensburg","00009","Alter Husumer Weg","274","524755571.00","6067645845.00"
"Stadt Flensburg","00009","Alter Husumer Weg","278","524730019.00","6067615593.00"
"Stadt Flensburg","00009","Alter Husumer Weg","284","524705616.00","6067582459.00"
"Stadt Flensburg","00009","Alter Husumer Weg","284","524684581.00","6067548353.00"
"Stadt Flensburg","00009","Alter Husumer Weg",,"524659175.00","6067507156.00"
